surface,candidate_lemmas,wordnet_exact,parts_of_speech,default_action,reason
enhanced,enhance,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside enhance.
entitled,entitle,yes,VBN|VBD,standalone,WordNet records an independent sense alongside entitle.
lived,live,no,VBD|VBN|VB,standalone,Past-tense form has an independent lexical role alongside live.
flying,fly,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside fly.
camping,camp,yes,NN|VBG,standalone,WordNet records an independent sense alongside camp.
marked,mark,yes,VBN|JJ|VBD|VBP,standalone,WordNet records an independent sense alongside mark.
driven,drive,yes,VBN|JJ,standalone,WordNet records an independent sense alongside drive.
measured,measure,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside measure.
closing,close,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside close.
adams,adam,yes,,standalone,WordNet records an independent sense alongside adam.
ethics,ethic,yes,NNS|NN,standalone,WordNet records an independent sense alongside ethic.
heating,heat,yes,NN|VBG,standalone,WordNet records an independent sense alongside heat.
dealing,deal,yes,VBG|NN,standalone,WordNet records an independent sense alongside deal.
hobbies,hobby,no,,standalone,No supported inflection rule safely maps this word to hobby.
achieved,achieve,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside achieve.
shipped,ship,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside ship.
seats,seat,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside seat.
loading,load,yes,NN|VBG,standalone,WordNet records an independent sense alongside load.
stamps,stamp,no,,standalone,No supported inflection rule safely maps this word to stamp.
mining,mine,yes,NN|VBG,standalone,WordNet records an independent sense alongside mine.
worst,bad,yes,JJS|RBS|JJ,standalone,WordNet records an independent sense alongside bad.
imaging,image,yes,NN|JJ,standalone,WordNet records an independent sense alongside image.
betting,bet,yes,VBG|NN,standalone,WordNet records an independent sense alongside bet.
exciting,excite,yes,JJ|VBG,standalone,WordNet records an independent sense alongside excite.
thongs,thong,no,,standalone,No supported inflection rule safely maps this word to thong.
derived,derive,yes,VBN|VBD,standalone,WordNet records an independent sense alongside derive.
oriented,orient,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside orient.
desktops,desktop,no,,standalone,No supported inflection rule safely maps this word to desktop.
pants,pant,yes,,standalone,WordNet records an independent sense alongside pant.
elected,elect,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside elect.
carrying,carry,no,VBG|JJ|NN,standalone,Participle has an independent lexical role alongside carry.
classics,classic,yes,NNS,standalone,WordNet records an independent sense alongside classic.
wings,wing,yes,NNS,standalone,WordNet records an independent sense alongside wing.
waters,water,yes,NNS,standalone,WordNet records an independent sense alongside water.
bringing,bring,yes,VBG|NN,standalone,WordNet records an independent sense alongside bring.
shaved,shave,yes,,standalone,WordNet records an independent sense alongside shave.
turning,turn,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside turn.
buffer,buff,yes,,standalone,WordNet records an independent sense alongside buff.
checked,check,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside check.
oldest,old,no,,standalone,No supported inflection rule safely maps this word to old.
worse,bad,yes,JJR|JJ|RBR,standalone,WordNet records an independent sense alongside bad.
burning,burn,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside burn.
coupons,coupon,no,,standalone,No supported inflection rule safely maps this word to coupon.
covering,cover,yes,VBG|NN,standalone,WordNet records an independent sense alongside cover.
talks,talk,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside talk.
filing,file,yes,NN|VBG,standalone,WordNet records an independent sense alongside file.
modeling,model,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside model.
passing,pass,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside pass.
masters,master,yes,NNS,standalone,WordNet records an independent sense alongside master.
commons,common,yes,NN,standalone,WordNet records an independent sense alongside common.
priced,price,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside price.
desired,desire,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside desire.
heights,height,yes,NNS,standalone,WordNet records an independent sense alongside height.
riding,rid,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside rid.
healing,heal,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside heal.
entering,enter,yes,VBG,standalone,WordNet records an independent sense alongside enter.
funded,fund,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside fund.
roads,road,yes,NNS,standalone,WordNet records an independent sense alongside road.
rolling,roll,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside roll.
lodging,lodge,yes,,standalone,WordNet records an independent sense alongside lodge.
losses,loss,yes,NNS,standalone,WordNet records an independent sense alongside loss.
reducing,reduce,yes,VBG|NN,standalone,WordNet records an independent sense alongside reduce.
stopped,stop,yes,VBD|VBN,standalone,WordNet records an independent sense alongside stop.
shooting,shoot,yes,NN|VBG,standalone,WordNet records an independent sense alongside shoot.
launched,launch,no,VBN|VBD|VB,standalone,Past-tense form has an independent lexical role alongside launch.
drawn,draw,yes,VBN|JJ,standalone,WordNet records an independent sense alongside draw.
operated,operate,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside operate.
queries,query,no,,standalone,No supported inflection rule safely maps this word to query.
nearest,near,yes,,standalone,WordNet records an independent sense alongside near.
woods,wood,yes,NNS,standalone,WordNet records an independent sense alongside wood.
shoppers,shopper,no,,standalone,No supported inflection rule safely maps this word to shopper.
ranking,rank,yes,JJ|VBG|NN,standalone,WordNet records an independent sense alongside rank.
trusted,trust,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside trust.
supposed,suppose,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside suppose.
knowing,know,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside know.
dancing,dance,yes,NN|VBG,standalone,WordNet records an independent sense alongside dance.
acres,acre,yes,NNS,standalone,WordNet records an independent sense alongside acre.
telling,tell,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside tell.
rising,rise,yes,VBG|NN|JJ,standalone,WordNet records an independent sense alongside rise.
wells,well,yes,NNS,standalone,WordNet records an independent sense alongside well.
philips,philip,no,,standalone,No supported inflection rule safely maps this word to philip.
chips,chip,yes,NNS,standalone,WordNet records an independent sense alongside chip.
pupils,pupil,no,,standalone,No supported inflection rule safely maps this word to pupil.
expanded,expand,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside expand.
grown,grow,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside grow.
troops,troop,yes,NNS,standalone,WordNet records an independent sense alongside troop.
armed,arm,yes,VBN|JJ,standalone,WordNet records an independent sense alongside arm.
broker,broke,yes,NN,standalone,WordNet records an independent sense alongside broke.
cooling,cool,yes,NN|VBG,standalone,WordNet records an independent sense alongside cool.
folks,folk,yes,NNS,standalone,WordNet records an independent sense alongside folk.
exposed,expose,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside expose.
sealed,seal,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside seal.
loaded,load,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside load.
spanking,spank,yes,,standalone,WordNet records an independent sense alongside spank.
catering,cater,yes,,standalone,WordNet records an independent sense alongside cater.
trained,train,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside train.
roberts,robert,yes,,standalone,WordNet records an independent sense alongside robert.
emerging,emerge,yes,VBG,standalone,WordNet records an independent sense alongside emerge.
reserves,reserve,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside reserve.
facing,face,yes,VBG|JJ,standalone,WordNet records an independent sense alongside face.
divided,divide,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside divide.
emails,email,no,,standalone,No supported inflection rule safely maps this word to email.
hearts,heart,yes,NNS,standalone,WordNet records an independent sense alongside heart.
pleased,please,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside please.
raising,raise,yes,VBG|NN|RP,standalone,WordNet records an independent sense alongside raise.
bigger,big,yes,JJR|RBR,standalone,WordNet records an independent sense alongside big.
billing,bill,yes,NN|VBG,standalone,WordNet records an independent sense alongside bill.
revealed,reveal,no,VBD|JJ|VBN,standalone,Past-tense form has an independent lexical role alongside reveal.
grounds,ground,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside ground.
proven,prove,yes,,standalone,WordNet records an independent sense alongside prove.
cached,cache,no,,standalone,No supported inflection rule safely maps this word to cache.
studied,study,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside study.
profits,profit,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside profit.
earrings,earring,no,,standalone,No supported inflection rule safely maps this word to earring.
sized,size,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside size.
noticed,notice,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside notice.
humans,human,yes,NNS,standalone,WordNet records an independent sense alongside human.
choosing,choose,no,VBG|NN,standalone,Participle has an independent lexical role alongside choose.
dated,date,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside date.
believes,belief|believe,no,VBZ,target-excluded,"Ambiguous lemmas: belief, believe."
equipped,equip,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside equip.
acquired,acquire,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside acquire.
roots,root,yes,NNS,standalone,WordNet records an independent sense alongside root.
losing,lose,no,VBG|JJ|NN,standalone,Participle has an independent lexical role alongside lose.
gadgets,gadget,no,,standalone,No supported inflection rule safely maps this word to gadget.
induced,induce,yes,,standalone,WordNet records an independent sense alongside induce.
linking,link,no,VBG|NN,standalone,Participle has an independent lexical role alongside link.
earned,earn,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside earn.
secured,secure,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside secure.
titans,titan,no,,standalone,No supported inflection rule safely maps this word to titan.
wearing,wear,yes,VBG,standalone,WordNet records an independent sense alongside wear.
sought,seek,yes,VBD|VBN,standalone,WordNet records an independent sense alongside seek.
mounted,mount,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside mount.
animated,animate,yes,JJ|VBD|VBN,standalone,WordNet records an independent sense alongside animate.
engaged,engage,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside engage.
falling,fall,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside fall.
basics,basic,yes,NNS,standalone,WordNet records an independent sense alongside basic.
lenses,lense,no,,standalone,No supported inflection rule safely maps this word to lense.
attended,attend,yes,VBD|VBN,standalone,WordNet records an independent sense alongside attend.
strings,string,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside string.
deleted,delete,no,,standalone,No supported inflection rule safely maps this word to delete.
embedded,embed,yes,,standalone,WordNet records an independent sense alongside embed.
corps,corp,yes,,standalone,WordNet records an independent sense alongside corp.
picked,pick,no,VBD|VB|VBN,standalone,Past-tense form has an independent lexical role alongside pick.
assumed,assume,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside assume.
killing,kill,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside kill.
aging,age,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside age.
diving,dive,yes,,standalone,WordNet records an independent sense alongside dive.
younger,young,yes,JJR,standalone,WordNet records an independent sense alongside young.
mills,mill,yes,NNS,standalone,WordNet records an independent sense alongside mill.
jeans,jean,yes,NNS,standalone,WordNet records an independent sense alongside jean.
fonts,font,no,,standalone,No supported inflection rule safely maps this word to font.
sleeping,sleep,yes,VBG|NN,standalone,WordNet records an independent sense alongside sleep.
tracked,track,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside track.
framed,frame,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside frame.
declared,declare,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside declare.
florists,florist,no,,standalone,No supported inflection rule safely maps this word to florist.
cycling,cycle,yes,NN|VBG,standalone,WordNet records an independent sense alongside cycle.
spoke,speak,yes,VBD|NN,standalone,WordNet records an independent sense alongside speak.
sampling,sample,yes,NN|VBG,standalone,WordNet records an independent sense alongside sample.
inspired,inspire,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside inspire.
meters,meter,no,NNS|NN,standalone,Plural form has an independent lexical role alongside meter.
feeding,feed,yes,VBG|NN,standalone,WordNet records an independent sense alongside feed.
skiing,ski,yes,NN|VBG,standalone,WordNet records an independent sense alongside ski.
feelings,feeling,yes,NNS,standalone,WordNet records an independent sense alongside feeling.
timing,time,yes,NN|VBG,standalone,WordNet records an independent sense alongside time.
liked,like,yes,VBD|VBN,standalone,WordNet records an independent sense alongside like.
outer,out,yes,JJ,standalone,WordNet records an independent sense alongside out.
nodes,nod|node,no,,target-excluded,"Ambiguous lemmas: nod, node."
targeted,target,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside target.
realized,realize,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside realize.
tired,tire,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside tire.
coding,cod,yes,NN,standalone,WordNet records an independent sense alongside cod.
hiking,hike,yes,VBG|NN,standalone,WordNet records an independent sense alongside hike.
archived,archive,no,,standalone,No supported inflection rule safely maps this word to archive.
judges,judge,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside judge.
retired,retire,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside retire.
detected,detect,yes,VBN|VBD,standalone,WordNet records an independent sense alongside detect.
pointed,point,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside point.
causing,cause,yes,VBG|NN,standalone,WordNet records an independent sense alongside cause.
locked,lock,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside lock.
steering,steer,yes,NN|JJ|VBG,standalone,WordNet records an independent sense alongside steer.
beads,bead,yes,,standalone,WordNet records an independent sense alongside bead.
fewer,few,yes,JJR|RB|RBR,standalone,WordNet records an independent sense alongside few.
edwards,edward,yes,,standalone,WordNet records an independent sense alongside edward.
tagged,tag,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside tag.
gates,gate,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside gate.
adjusted,adjust,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside adjust.
shaped,shape,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside shape.
coaching,coach,yes,NN|VBG,standalone,WordNet records an independent sense alongside coach.
encoding,encode,yes,,standalone,WordNet records an independent sense alongside encode.
painted,paint,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside paint.
spears,spear,no,,standalone,No supported inflection rule safely maps this word to spear.
bedding,bed,yes,NN,standalone,WordNet records an independent sense alongside bed.
joining,join,yes,VBG|NN,standalone,WordNet records an independent sense alongside join.
heading,head,yes,VBG|NN,standalone,WordNet records an independent sense alongside head.
bearing,bear,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside bear.
crossing,cross,yes,VBG|NN,standalone,WordNet records an independent sense alongside cross.
drunk,drink,yes,JJ|NN|VBN,standalone,WordNet records an independent sense alongside drink.
resolved,resolve,yes,VBN|VBD,standalone,WordNet records an independent sense alongside resolve.
broke,break,yes,VBD|VBN|JJ|RB|VB,standalone,WordNet records an independent sense alongside break.
browsing,browse,yes,,standalone,WordNet records an independent sense alongside browse.
pixels,pixel,no,,standalone,No supported inflection rule safely maps this word to pixel.
singing,sing,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside sing.
starring,star,yes,VBG|JJ,standalone,WordNet records an independent sense alongside star.
sucking,suck,yes,VBG|NN,standalone,WordNet records an independent sense alongside suck.
spoken,speak,yes,,standalone,WordNet records an independent sense alongside speak.
stayed,stay,no,VBD|JJ|VBN,standalone,Past-tense form has an independent lexical role alongside stay.
watched,watch,no,VBD|VBN|JJ,standalone,Past-tense form has an independent lexical role alongside watch.
ranging,range,yes,VBG,standalone,WordNet records an independent sense alongside range.
hanging,hang,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside hang.
colored,color,yes,JJ|VBN,standalone,WordNet records an independent sense alongside color.
verified,verify,yes,,standalone,WordNet records an independent sense alongside verify.
situated,situate,yes,VBN,standalone,WordNet records an independent sense alongside situate.
loving,love,yes,JJ|VBG,standalone,WordNet records an independent sense alongside love.
routing,rout,no,VBG|NN,standalone,Participle has an independent lexical role alongside rout.
gains,gain,no,NNS|NN|VBZ,standalone,Plural form has an independent lexical role alongside gain.
opposed,oppose,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside oppose.
scoring,score,yes,VBG|NN,standalone,WordNet records an independent sense alongside score.
spots,spot,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside spot.
headed,head,yes,VBN|VBD,standalone,WordNet records an independent sense alongside head.
repeated,repeat,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside repeat.
bowling,bowl,yes,NN|VBG,standalone,WordNet records an independent sense alongside bowl.
faced,face,yes,VBN|VBD,standalone,WordNet records an independent sense alongside face.
solving,solve,yes,VBG,standalone,WordNet records an independent sense alongside solve.
chains,chain,yes,NNS,standalone,WordNet records an independent sense alongside chain.
reaching,reach,yes,VBG|NN,standalone,WordNet records an independent sense alongside reach.
damaged,damage,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside damage.
proved,prove,yes,VBD|JJ|VBN,standalone,WordNet records an independent sense alongside prove.
studying,study,yes,VBG|NN,standalone,WordNet records an independent sense alongside study.
upgrades,upgrade,no,,standalone,No supported inflection rule safely maps this word to upgrade.
likes,like,no,VBZ|NNS|NN,standalone,Plural form has an independent lexical role alongside like.
finest,fine,no,,standalone,No supported inflection rule safely maps this word to fine.
ranked,rank,yes,VBD|VBN|JJ,standalone,WordNet records an independent sense alongside rank.
packed,pack,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside pack.
excited,excite,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside excite.
mounting,mount,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside mount.
balanced,balance,yes,JJ|VBD|VBN,standalone,WordNet records an independent sense alongside balance.
delayed,delay,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside delay.
villas,villa,no,,standalone,No supported inflection rule safely maps this word to villa.
peeing,pee,yes,,standalone,WordNet records an independent sense alongside pee.
brooks,brook,yes,,standalone,WordNet records an independent sense alongside brook.
scanners,scanner,no,,standalone,No supported inflection rule safely maps this word to scanner.
arranged,arrange,yes,VBN|VBD,standalone,WordNet records an independent sense alongside arrange.
threaded,thread,yes,VBN,standalone,WordNet records an independent sense alongside thread.
burns,burn,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside burn.
peoples,people,yes,NNS,standalone,WordNet records an independent sense alongside people.
advised,advise,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside advise.
isolated,isolate,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside isolate.
assisted,assist,yes,VBN|VBD,standalone,WordNet records an independent sense alongside assist.
venues,venue,no,,standalone,No supported inflection rule safely maps this word to venue.
indians,indian,no,,standalone,No supported inflection rule safely maps this word to indian.
previews,preview,no,,standalone,No supported inflection rule safely maps this word to preview.
sailing,sail,yes,NN|VBG,standalone,WordNet records an independent sense alongside sail.
greeting,greet,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside greet.
scored,score,no,VBD|JJ|VBN,standalone,Past-tense form has an independent lexical role alongside score.
composed,compose,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside compose.
tears,tear,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside tear.
seating,seat,yes,NN|VBG,standalone,WordNet records an independent sense alongside seat.
loads,load,yes,NNS,standalone,WordNet records an independent sense alongside load.
frozen,freeze,yes,VBN|JJ,standalone,WordNet records an independent sense alongside freeze.
occupied,occupy,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside occupy.
gained,gain,no,VBD|VBN|VB,standalone,Past-tense form has an independent lexical role alongside gain.
dying,die,yes,VBG|JJ|NN,standalone,WordNet records an independent sense alongside die.
stuck,stick,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside stick.
placing,place,no,VBG|NN,standalone,Participle has an independent lexical role alongside place.
stops,stop,yes,VBZ|NNS,standalone,WordNet records an independent sense alongside stop.
enabling,enable,yes,VBG,standalone,WordNet records an independent sense alongside enable.
filling,fill,yes,VBG|NN,standalone,WordNet records an independent sense alongside fill.
imposed,impose,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside impose.
implied,imply,no,VBN|JJ|VBD,standalone,Past-tense form has an independent lexical role alongside imply.
packing,pack,yes,VBG|NN,standalone,WordNet records an independent sense alongside pack.
rejected,reject,yes,VBD|VBN,standalone,WordNet records an independent sense alongside reject.
guided,guide,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside guide.
logging,log,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside log.
harder,hard,no,JJR|RBR|JJ|RB,standalone,Comparison form has an independent lexical role alongside hard.
cheapest,cheap,no,,standalone,No supported inflection rule safely maps this word to cheap.
staying,stay,no,VBG|JJ|NN,standalone,Participle has an independent lexical role alongside stay.
landing,land,yes,NN|VBG,standalone,WordNet records an independent sense alongside land.
signing,sign,yes,VBG|NN,standalone,WordNet records an independent sense alongside sign.
executed,execute,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside execute.
spirits,spirit,yes,NNS,standalone,WordNet records an independent sense alongside spirit.
imported,import,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside import.
focusing,focus,yes,VBG|NN,standalone,WordNet records an independent sense alongside focus.
admitted,admit,no,VBD|VBN|JJ,standalone,Past-tense form has an independent lexical role alongside admit.
stickers,sticker,no,,standalone,No supported inflection rule safely maps this word to sticker.
leasing,lease,no,NN|VBG,standalone,Participle has an independent lexical role alongside lease.
wages,wage,yes,NNS,standalone,WordNet records an independent sense alongside wage.
updating,update,yes,VBG|NN,standalone,WordNet records an independent sense alongside update.
confused,confuse,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside confuse.
eagles,eagle,no,,standalone,No supported inflection rule safely maps this word to eagle.
accused,accuse,yes,VBN|VBD|JJ|NN,standalone,WordNet records an independent sense alongside accuse.
packets,packet,no,,standalone,No supported inflection rule safely maps this word to packet.
gathered,gather,yes,VBD|VBN,standalone,WordNet records an independent sense alongside gather.
folders,folder,no,,standalone,No supported inflection rule safely maps this word to folder.
routers,router,no,,standalone,No supported inflection rule safely maps this word to router.
hiring,hire,no,VBG|NN,standalone,Participle has an independent lexical role alongside hire.
clocks,clock,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside clock.
chicks,chick,no,,standalone,No supported inflection rule safely maps this word to chick.
assuming,assume,yes,VBG,standalone,WordNet records an independent sense alongside assume.
floating,float,yes,VBG|JJ,standalone,WordNet records an independent sense alongside float.
alleged,allege,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside allege.
struck,strike,yes,VBD|VBN,standalone,WordNet records an independent sense alongside strike.
stunning,stun,yes,,standalone,WordNet records an independent sense alongside stun.
fastest,fast,yes,,standalone,WordNet records an independent sense alongside fast.
injured,injure,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside injure.
uploaded,upload,no,,standalone,No supported inflection rule safely maps this word to upload.
americas,america,no,,standalone,No supported inflection rule safely maps this word to america.
wired,wire,yes,VBN|VBD,standalone,WordNet records an independent sense alongside wire.
infected,infect,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside infect.
letting,let,yes,VBG|NN,standalone,WordNet records an independent sense alongside let.
boxing,box,yes,NN,standalone,WordNet records an independent sense alongside box.
menus,menu,no,,standalone,No supported inflection rule safely maps this word to menu.
lying,lie,yes,VBG|NN,standalone,WordNet records an independent sense alongside lie.
washing,wash,yes,VBG|NN,standalone,WordNet records an independent sense alongside wash.
staffing,staff,no,,standalone,No supported inflection rule safely maps this word to staff.
ruling,rule,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside rule.
enrolled,enrol,no,VBN|VBD|JJ,standalone,Past-tense form has an independent lexical role alongside enrol.
handed,hand,yes,VBD|VBN,standalone,WordNet records an independent sense alongside hand.
swingers,swinger,no,,standalone,No supported inflection rule safely maps this word to swinger.
headers,header,no,,standalone,No supported inflection rule safely maps this word to header.
defining,define,yes,VBG,standalone,WordNet records an independent sense alongside define.
counting,count,yes,VBG|NN,standalone,WordNet records an independent sense alongside count.
devoted,devote,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside devote.
bridges,bridge,yes,NNS|VBZ,standalone,WordNet records an independent sense alongside bridge.
casting,cast,yes,VBG|NN,standalone,WordNet records an independent sense alongside cast.
scanning,scan,yes,NN|VBG,standalone,WordNet records an independent sense alongside scan.
copying,copy,yes,NN|VBG,standalone,WordNet records an independent sense alongside copy.
fired,fire,yes,VBN|VBD,standalone,WordNet records an independent sense alongside fire.
trivia,trivium,yes,,standalone,WordNet records an independent sense alongside trivium.
kissing,kiss,yes,VBG,standalone,WordNet records an independent sense alongside kiss.
plumbing,plumb,yes,,standalone,WordNet records an independent sense alongside plumb.
handled,handle,yes,VBN|VBD,standalone,WordNet records an independent sense alongside handle.
farming,farm,yes,NN|VBG,standalone,WordNet records an independent sense alongside farm.
mixing,mix,yes,VBG|NN,standalone,WordNet records an independent sense alongside mix.
fitted,fit,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside fit.
twins,twin,yes,NNS,standalone,WordNet records an independent sense alongside twin.
escorts,escort,no,,standalone,No supported inflection rule safely maps this word to escort.
knives,knife,no,,standalone,No supported inflection rule safely maps this word to knife.
honors,honor,no,NNS|VBZ|JJ,standalone,Plural form has an independent lexical role alongside honor.
unified,unify,yes,,standalone,WordNet records an independent sense alongside unify.
bones,bone,yes,NNS,standalone,WordNet records an independent sense alongside bone.
ignored,ignore,yes,VBN|VBD,standalone,WordNet records an independent sense alongside ignore.
fallen,fall,yes,VBN|JJ,standalone,WordNet records an independent sense alongside fall.
backed,back,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside back.
motels,motel,no,,standalone,No supported inflection rule safely maps this word to motel.
forming,form,no,VBG|NN,standalone,Participle has an independent lexical role alongside form.
browsers,browser,no,,standalone,No supported inflection rule safely maps this word to browser.
surfing,surf,yes,,standalone,WordNet records an independent sense alongside surf.
optics,optic,yes,,standalone,WordNet records an independent sense alongside optic.
ellis,elli,no,,standalone,No supported inflection rule safely maps this word to elli.
lending,lend,yes,NN|VBG|JJ,standalone,WordNet records an independent sense alongside lend.
mobiles,mobile,no,,standalone,No supported inflection rule safely maps this word to mobile.
allied,ally,yes,VBN|JJ|VBD,standalone,WordNet records an independent sense alongside ally.
tablets,tablet,no,,standalone,No supported inflection rule safely maps this word to tablet.
tuning,tune,yes,VBG|NN,standalone,WordNet records an independent sense alongside tune.
wanting,want,yes,VBG,standalone,WordNet records an independent sense alongside want.
trustees,trustee,no,,standalone,No supported inflection rule safely maps this word to trustee.
watts,watt,yes,,standalone,WordNet records an independent sense alongside watt.
reprints,reprint,no,,standalone,No supported inflection rule safely maps this word to reprint.
midlands,midland,no,,standalone,No supported inflection rule safely maps this word to midland.
mailed,mail,yes,VBN|VBD|JJ,standalone,WordNet records an independent sense alongside mail.
spelling,spell,yes,NN|VBG,standalone,WordNet records an independent sense alongside spell.
quarters,quarter,yes,NNS,standalone,WordNet records an independent sense alongside quarter.
stolen,steal,no,VBN|JJ,standalone,Past-tense form has an independent lexical role alongside steal.
naturals,natural,no,,standalone,No supported inflection rule safely maps this word to natural.
fitting,fit,yes,JJ|NN|VBG,standalone,WordNet records an independent sense alongside fit.
fixtures,fixture,no,,standalone,No supported inflection rule safely maps this word to fixture.
bloggers,blogger,no,,standalone,No supported inflection rule safely maps this word to blogger.
